Vãi lồn 	
Vui quá vui gê =)))	
Mắt cười ghê😕	
xinh cl j	
cười muốn gớc nước mắt chị ơii	
Chào c	
Nóng vchg mn ạ. Nghe nói tối nay có mưa to :))	
Ui ui kiểu bất ngờ cmnr 	
Măc cừi 🙂	
Xinh gái thế chị =))	
Cười vì lí do j??? 	
Nay mặt chị sao sưng dữ dạ chị :))	
Cười mà niễn 1 bên luôn nè 	
Như cái lồn	
có đọc cmt k e. sao thờ ơ v	
Bán 500 ngàn đồng quế đi chị ơi :)	
Loại mày chỉ đi làm phò thôi	
Chị đáng yêu	
ĐỌC TÊN EM ĐI CHỊ	
Lớn hơn người ta 2 tuổi tưởng mình bị lắm kêu cậu bé cc	
Cười 	
Heloo chị	
má cái tay c bấm đt cũng ghét nữa, chị thở cũng ghét nữa 🥺	
Vee Thị Trang Trang PT Minh Hạnh Linh Lưu hahaha x3.14 	
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️	
Ủa con điên .... bất ngờ cục cạk	
Mỹ Duyên	
"Xấu ?.
"	
Giọng cj hay quá🙆	
Cũng nhiều kiểu người qua nhờ :)	
TÂM LỒN 	
Trinh Trinh nè em	
Hay em	
Chút cj gọi cho e đi	
ĐỌC TÊN EM ĐI CHỊ	
ủa chị bị hô hả	
Hahahahahaha mắc cười quá 🙂	
Vô đọc toàn. “Yêu chị tâm” yêu hùa à =))?	
:)) mắc cười quá 	
kakakaka	
Tên hay ghê :))	
lố quá bà nội	
Anh gì ơiii thấyu tin này add em đi :vvv	
Bảo Khánh Ha Viet Anh Phuong N T Dieu Anh	
Tắt live đi	
Mai Anh	
chị thi bao nhiêu điểm đại học?	
Nguyễn Hoài Đạt	
gọi tên em đi c	
hạnh phúc quá	
cô bé mũi trâu	
Cười như condien vậy ấy :)) ai kêu chặn cmt tao 	
Vy Đào Phương Võ idol a nè =))))	
Add e vs cj	
Lô chị 	
Cười ít thôi Tâm ơi răng đập vào màn hình vỡ màn hình đt thay tốn tiền lắm nè. 	
Vãi lồn	
Quê chị gia lai hả chị	
ĐỌC TÊN EM ĐI CHỊ	
Chị iu xinh ghê 	
chị ơi cchị chúc a11 thi đỗ c3 được k ạ	
Mắc ỉa quá chị yêu ơi 	
Chị ơi con Lam Ngăn nó lo coi livestream của chị ko thèm học bài kìa chị chửi nó ik >:(	
Hello cj tâm	
ủa hk pts nữa ô ha	
Úc Trần	
Xấu mà cứ khép nép làm như mình đẹp lắm :<	
Khép mỏ hô lại chị oi	
Mắc cười vl	
Ủa gì má mới zô đã tắt 	
vui quá	
Điện em với	
em bảo chị đừng cười nữa mà	
Chị đẹp kinh á😍😍😍	
Mắc cười ghê 😗	
Ha ha ha buồn cười quá 🙂	
Vui ghê á chị :)))	
mũi bị bệnh sưng hả chị :(((	
Nhạt nhẽo vl 😢	
ĐỌC TÊN EM ĐI CHỊ	
Buồn cười nhò 🙄	
Hi bà chụy 	
🙂	
mắc cười quá haha	
Nói hẳn hoi cười cái ll	
Hello chị	
Chị Po ơi giọng chị dễ thương xỉu lun á	
Lô chị	
Minh Quân	
Thu Phương	
Đỗ Thu Uyên	
Chị tâm hô biến cho trời mát đi chị	
Tạ Thanh Huyền 	
ơi con đĩ ơi	1
